epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6731728065024913,0.5846438482886216,0.6667139976666863,0.5756457564575646
2,0.6629410209642529,0.5827937095282146,0.653152599985749,0.5756457564575646
3,0.6526539283808903,0.5827937095282146,0.6492373538633114,0.5793357933579336
4,0.6524577579710023,0.5864939870490287,0.6456029492110784,0.5793357933579336
5,0.6427516044013264,0.606845513413506,0.6458088555459167,0.5645756457564576
6,0.6379641588367212,0.599444958371878,0.6453621198330418,0.5682656826568265
7,0.6395024361156072,0.5985198889916744,0.6668317018839706,0.5793357933579336
8,0.6368387593481962,0.5975948196114709,0.8195148420509817,0.5756457564575646
9,0.6334832543912141,0.633672525439408,0.648143111779681,0.6014760147601476
10,0.6318176248688923,0.6012950971322849,0.8390378806863764,0.5756457564575646
11,0.6301128674612124,0.6160962072155411,0.640442419975886,0.6236162361623616
12,0.6276330102603818,0.6299722479185939,0.6437443833509494,0.5682656826568265
13,0.6291209117997917,0.6170212765957447,0.794497083913796,0.5793357933579336
14,0.6372141597670168,0.6123959296947271,0.6442064634108455,0.5793357933579336
15,0.6310116252228687,0.6151711378353376,0.6415864438148442,0.6273062730627307
16,0.6207861154582299,0.6392229417206291,0.6440790889447906,0.5904059040590406
17,0.6216334330605534,0.6493987049028677,0.8154094311583966,0.5793357933579336
18,0.6214286908300578,0.6540240518038853,0.6773452807176596,0.5276752767527675
19,0.6186931925609529,0.6447733580018501,0.6901642119312639,0.5166051660516605
20,0.6224820117063814,0.6447733580018501,0.6678396164271224,0.6125461254612546
21,0.6107819267823451,0.6456984273820536,0.6577016900386318,0.5608856088560885
22,0.6144943665730302,0.6743755781683626,0.6659544094902123,0.5571955719557196
23,0.6077550510694096,0.6540240518038853,0.9655340302914271,0.5756457564575646
24,0.6166851158278833,0.6401480111008325,0.8170880147451844,0.5830258302583026
25,0.610982137681377,0.6586493987049029,0.6976275540805831,0.5350553505535055
26,0.6077758824792204,0.6549491211840888,0.6483895589504735,0.6088560885608856
27,0.6114141104620546,0.6530989824236818,0.6652227411410905,0.5719557195571956
28,0.6101988790269035,0.6549491211840888,0.6795089913470279,0.5793357933579336
29,0.6059508948387866,0.6549491211840888,0.6968827555540303,0.5276752767527675
30,0.6050895182872458,0.6716003700277521,0.6590595135389659,0.6346863468634686
31,0.5985946252762885,0.6614246068455134,0.635886180444837,0.6309963099630996
32,0.5984758025071447,0.6771507863089732,0.7640885222442035,0.5719557195571956
33,0.6081398984660273,0.6641998149861239,0.6298433304712782,0.6420664206642066
34,0.6031801659789602,0.6558741905642923,0.6324379910402192,0.6162361623616236
35,0.6059028522269136,0.6503237742830712,0.6867685120044159,0.5793357933579336
36,0.5943426194839407,0.6725254394079556,0.6769805372421152,0.5571955719557196
37,0.6022805898526992,0.6549491211840888,0.6677425028653162,0.6236162361623616
38,0.5989823914809319,0.667900092506938,0.6293971377985064,0.6199261992619927
39,0.5946514802217263,0.6641998149861239,0.688679907814603,0.5904059040590406
40,0.6011792963903111,0.6817761332099908,0.9318026966274444,0.5756457564575646
41,0.5950160862448919,0.6688251618871416,0.6366287933944336,0.6383763837638377
42,0.5941742986137397,0.6725254394079556,0.6279804761559321,0.6457564575645757
43,0.5979189326871225,0.6817761332099908,0.6456755619647319,0.6346863468634686
44,0.5893892589043291,0.6790009250693803,0.9281815033117343,0.5756457564575646
45,0.5862898483638075,0.6734505087881592,0.6346768393727686,0.6346863468634686
46,0.5976953872588914,0.6614246068455134,0.8030913815287206,0.5756457564575646
47,0.5894798326007091,0.6790009250693803,0.6430840479051935,0.6494464944649446
48,0.5989648635248472,0.6836262719703978,0.6917068338042256,0.5719557195571956
49,0.5801235991534428,0.6771507863089732,0.7797935539066132,0.5904059040590406
50,0.579204415690557,0.6854764107308048,0.6489225076133475,0.6494464944649446
51,0.5918512568222385,0.6827012025901943,0.6632496529839575,0.6051660516605166
52,0.5895172755107297,0.6799259944495837,0.6523017166285497,0.6383763837638377
53,0.5759116879610084,0.7039777983348752,0.6753591376037176,0.6088560885608856
54,0.5876022897088671,0.6827012025901943,0.7597605542063273,0.5867158671586716
55,0.5863691934493821,0.6901017576318224,0.7053692945695011,0.5977859778597786
56,0.5743270169574832,0.6901017576318224,0.7525988786422898,0.5904059040590406
57,0.5889849608193715,0.6836262719703978,0.9627999595170531,0.4833948339483395
58,0.5739006037848841,0.6984273820536541,0.6483847056807627,0.6125461254612546
59,0.5716926178702814,0.692876965772433,0.6702221405462145,0.6199261992619927
60,0.5744211515489273,0.6882516188714154,0.7159685290167692,0.5793357933579336
61,0.5874773644386454,0.6790009250693803,0.630006151225734,0.6531365313653137
62,0.5732596936764042,0.6975023126734505,1.395379653496056,0.5756457564575646
63,0.5756964106233334,0.6993524514338575,1.06705435417675,0.5756457564575646
64,0.5751079837279006,0.692876965772433,0.725283984328548,0.5940959409594095
65,0.5605406652546723,0.6993524514338575,0.6718663861390849,0.6346863468634686
66,0.5581827022541903,0.7178538390379279,0.6449546356482699,0.6494464944649446
67,0.5652939441797361,0.7012025901942646,0.7958691582028716,0.5350553505535055
