epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6790925724089413,0.5799701046337817,0.5805487632751465,0.7857142857142857
2,0.6612220644416296,0.5807174887892377,0.5726331472396851,0.7857142857142857
3,0.6543027413800159,0.5822122571001495,0.5542016625404358,0.7857142857142857
4,0.6532140314489915,0.5814648729446936,0.5341979265213013,0.7857142857142857
5,0.6497138659337532,0.5814648729446936,0.5498481392860413,0.7857142857142857
6,0.6477996726563515,0.5829596412556054,0.5448318123817444,0.7142857142857143
7,0.6467255099115529,0.5896860986547086,0.5164437294006348,0.7857142857142857
8,0.6452933549880981,0.5911808669656203,0.5409175753593445,0.6428571428571429
9,0.6414887258290175,0.6106128550074739,0.6338567733764648,0.5714285714285714
10,0.6396465064520614,0.6083707025411061,0.579903781414032,0.5
11,0.6293771674992971,0.6218236173393124,0.6089907884597778,0.5
12,0.6333608832238145,0.6188340807174888,0.6111453175544739,0.5714285714285714
13,0.6239482470870196,0.6367713004484304,0.6111360788345337,0.5714285714285714
14,0.6380227830021549,0.6076233183856502,0.6220287680625916,0.5
15,0.6211753370872349,0.6367713004484304,0.6015697717666626,0.5714285714285714
16,0.6291311989094288,0.6367713004484304,0.5248269438743591,0.7857142857142857
17,0.6237365088477085,0.6397608370702541,0.7264378666877747,0.5
18,0.609567665376649,0.6539611360239163,0.7543402314186096,0.5714285714285714
19,0.6081293498810453,0.6599402092675636,0.6983869671821594,0.5
20,0.6078265009974151,0.6659192825112108,0.77967369556427,0.5
21,0.5989922085506856,0.6659192825112108,0.7295026183128357,0.42857142857142855
22,0.6020049669282853,0.6644245142002989,0.7646970748901367,0.42857142857142855
23,0.6034465976538324,0.6711509715994021,0.6367948651313782,0.6428571428571429
24,0.5963195156088859,0.6636771300448431,0.7067945599555969,0.5
25,0.5955618502313246,0.6704035874439462,0.629689633846283,0.5714285714285714
26,0.5976618639735006,0.6569506726457399,0.6389627456665039,0.5714285714285714
27,0.5937731995710878,0.6831091180866966,0.7700018286705017,0.5
28,0.5819869470881418,0.6808669656203289,0.6950671076774597,0.5714285714285714
29,0.5856921034008933,0.6816143497757847,0.8618585467338562,0.5
30,0.5862566904458586,0.6786248131539612,0.8092918395996094,0.42857142857142855
31,0.5810495450179495,0.6823617339312407,0.6122472882270813,0.6428571428571429
32,0.5799557684248339,0.6831091180866966,0.7797936797142029,0.5
33,0.5671126791269077,0.6860986547085202,0.78413325548172,0.42857142857142855
34,0.5736011251562201,0.695814648729447,0.754508912563324,0.5
35,0.5636895908368542,0.695814648729447,0.8570302128791809,0.5
36,0.5703547538128669,0.6883408071748879,0.8114155530929565,0.5
37,0.5653998507868905,0.6883408071748879,0.8319688439369202,0.5
38,0.5582703602331814,0.7055306427503737,0.8092950582504272,0.5
39,0.5597754053114419,0.6995515695067265,0.902988851070404,0.42857142857142855
40,0.5627986827060603,0.6980568011958147,0.7983559370040894,0.7142857142857143
41,0.5565790457397655,0.7100149476831091,1.0725963115692139,0.42857142857142855
42,0.5543247271546334,0.70254110612855,0.8356224894523621,0.5
43,0.5475502650299414,0.7047832585949177,0.8393531441688538,0.6428571428571429
44,0.5416333336823012,0.7152466367713004,0.7481130361557007,0.5714285714285714
45,0.5343182533756679,0.7167414050822123,0.826969563961029,0.5714285714285714
46,0.5329399197981853,0.7204783258594918,0.7313989996910095,0.7142857142857143
47,0.5405499154676771,0.7182361733931241,0.8567994236946106,0.42857142857142855
48,0.541305282101681,0.7100149476831091,0.7913979887962341,0.6428571428571429
49,0.5244562455713303,0.7324364723467862,0.8994964361190796,0.5
50,0.534862283990344,0.7242152466367713,0.8926547169685364,0.5
51,0.5071685079858264,0.7466367713004485,0.6418629884719849,0.7142857142857143
52,0.5266227726622725,0.7182361733931241,0.9290304780006409,0.5
53,0.5105375803461346,0.7473841554559043,1.128029465675354,0.5
54,0.5046142762462833,0.7361733931240658,1.3078153133392334,0.5
55,0.5068212641550642,0.7473841554559043,1.22561776638031,0.6428571428571429
56,0.5041484885329801,0.7488789237668162,1.1356613636016846,0.5
57,0.5052176007419067,0.7443946188340808,0.9023308753967285,0.5714285714285714
