epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2273.02,1.63901,0.743,1.34066,0.92992,0.94784,0.93071,0.44086,1.78143,0.75347,1.6139,0.0011882,0.0011882,0.0011882
43,2326.31,1.5357,0.72818,1.30604,0.9273,0.91117,0.9271,0.42407,1.78707,0.74861,1.59717,0.0011684,0.0011684,0.0011684
44,2380.99,1.52848,0.70292,1.29333,0.87995,0.9599,0.92392,0.43005,1.76886,0.75459,1.59086,0.0011486,0.0011486,0.0011486
45,2433.99,1.55975,0.72998,1.29866,0.86859,0.9443,0.92702,0.43741,1.77695,0.75336,1.63458,0.0011288,0.0011288,0.0011288
46,2487.62,1.55522,0.7325,1.30695,0.95706,0.91667,0.94486,0.4523,1.8236,0.71542,1.64616,0.001109,0.001109,0.001109
47,2540.55,1.56141,0.73362,1.3147,0.93828,0.90476,0.94186,0.44092,1.85175,0.76525,1.67097,0.0010892,0.0010892,0.0010892
48,2594.7,1.52318,0.73892,1.27778,0.96282,0.92491,0.95046,0.43794,1.87214,0.76315,1.66863,0.0010694,0.0010694,0.0010694
49,2647.71,1.58043,0.71799,1.35654,0.9296,0.91667,0.93946,0.43041,1.83701,0.74274,1.65676,0.0010496,0.0010496,0.0010496
50,2701.75,1.55734,0.69931,1.32811,0.92442,0.88095,0.91184,0.40724,1.89751,0.76054,1.68625,0.0010298,0.0010298,0.0010298
51,2754.7,1.58059,0.68664,1.33145,0.90075,0.86905,0.89959,0.3808,1.88479,0.7955,1.72291,0.00101,0.00101,0.00101
52,2808.24,1.48558,0.67387,1.27969,0.86494,0.91493,0.90236,0.38906,1.87655,0.7519,1.70422,0.0009902,0.0009902,0.0009902
53,2861.54,1.55701,0.67643,1.30247,0.96371,0.94842,0.95002,0.42464,1.8726,0.68878,1.65945,0.0009704,0.0009704,0.0009704
54,2917.59,1.59162,0.7169,1.35387,0.94211,0.94048,0.93707,0.41667,1.88699,0.70512,1.69626,0.0009506,0.0009506,0.0009506
55,2971.36,1.54318,0.68975,1.28852,0.94019,0.92857,0.94811,0.44685,1.85182,0.6918,1.62861,0.0009308,0.0009308,0.0009308
56,3025.01,1.49702,0.67979,1.31289,0.9402,0.93597,0.94412,0.4427,1.83203,0.67222,1.6403,0.000911,0.000911,0.000911
57,3078.14,1.444,0.64676,1.23869,0.95844,0.96429,0.95435,0.44755,1.82293,0.6658,1.64023,0.0008912,0.0008912,0.0008912
58,3132.08,1.54282,0.64341,1.29908,0.95916,0.96429,0.95298,0.4412,1.81555,0.68616,1.62208,0.0008714,0.0008714,0.0008714
59,3184.63,1.52564,0.67196,1.29006,0.97249,0.95238,0.95047,0.4314,1.79738,0.70317,1.63218,0.0008516,0.0008516,0.0008516
60,3238,1.48331,0.66427,1.27488,0.95968,0.92857,0.94755,0.43971,1.84108,0.68645,1.66021,0.0008318,0.0008318,0.0008318
61,3291.04,1.54572,0.67175,1.34547,0.96293,0.92783,0.93864,0.44064,1.81374,0.65987,1.65545,0.000812,0.000812,0.000812
62,3345.51,1.45142,0.64796,1.28296,0.92377,0.92857,0.92322,0.43445,1.82448,0.67775,1.65189,0.0007922,0.0007922,0.0007922
63,3398.76,1.52819,0.66331,1.29567,0.95161,0.93646,0.92918,0.43148,1.7933,0.66422,1.64509,0.0007724,0.0007724,0.0007724
64,3453.51,1.44616,0.65038,1.25356,0.9489,0.94048,0.93162,0.42154,1.82174,0.64625,1.6741,0.0007526,0.0007526,0.0007526
65,3506.78,1.50293,0.6619,1.31327,0.97009,0.91667,0.95679,0.43754,1.86724,0.65419,1.67719,0.0007328,0.0007328,0.0007328
66,3561.37,1.50202,0.66609,1.28543,0.93326,0.91667,0.94615,0.43041,1.8762,0.6646,1.71037,0.000713,0.000713,0.000713
67,3614.81,1.4778,0.64711,1.27138,0.93989,0.95238,0.95625,0.43148,1.87348,0.69708,1.69574,0.0006932,0.0006932,0.0006932
68,3667.75,1.53368,0.65636,1.32459,0.93807,0.90167,0.9383,0.4374,1.83857,0.69655,1.65247,0.0006734,0.0006734,0.0006734
69,3721.43,1.49952,0.66107,1.29682,0.93918,0.91926,0.91898,0.43846,1.8022,0.70916,1.66942,0.0006536,0.0006536,0.0006536
70,3774.63,1.46015,0.6549,1.26029,0.94612,0.92857,0.93333,0.43576,1.88099,0.68157,1.68307,0.0006338,0.0006338,0.0006338
71,3829.15,1.48688,0.6246,1.26487,0.92579,0.90476,0.91556,0.43288,1.84205,0.67155,1.68629,0.000614,0.000614,0.000614
72,3882.42,1.43565,0.63216,1.25478,0.95616,0.91667,0.92417,0.42849,1.83757,0.68816,1.66446,0.0005942,0.0005942,0.0005942
73,3936.33,1.37464,0.6108,1.25582,0.93739,0.91667,0.93059,0.40655,1.83195,0.70023,1.67102,0.0005744,0.0005744,0.0005744
74,3992.64,1.51539,0.65421,1.30146,0.94666,0.91667,0.92052,0.41654,1.86174,0.67613,1.65568,0.0005546,0.0005546,0.0005546
75,4048.6,1.38704,0.61261,1.2423,0.94632,0.91667,0.93298,0.39962,1.82515,0.66825,1.6981,0.0005348,0.0005348,0.0005348
76,4105.47,1.42887,0.61531,1.23973,0.93975,0.9285,0.9305,0.42537,1.83892,0.64906,1.65949,0.000515,0.000515,0.000515
77,4162.91,1.45277,0.63365,1.24284,0.95227,0.90476,0.93195,0.43362,1.79861,0.67426,1.63619,0.0004952,0.0004952,0.0004952
78,4219.39,1.45395,0.62324,1.29635,0.94183,0.92857,0.93718,0.4226,1.78913,0.656,1.64958,0.0004754,0.0004754,0.0004754
79,4275.76,1.43255,0.62646,1.25209,0.96289,0.92658,0.95019,0.42055,1.81137,0.65946,1.69852,0.0004556,0.0004556,0.0004556
80,4330.71,1.38694,0.61773,1.22367,0.93898,0.91599,0.95701,0.42631,1.79968,0.68046,1.649,0.0004358,0.0004358,0.0004358
81,4385.83,1.43235,0.61308,1.2642,0.95117,0.92765,0.94347,0.43305,1.8071,0.68941,1.64135,0.000416,0.000416,0.000416
82,4443.28,1.41536,0.60374,1.22882,0.95462,0.91667,0.94644,0.43666,1.81471,0.69098,1.65315,0.0003962,0.0003962,0.0003962
83,4502.23,1.38025,0.60226,1.21541,0.92734,0.91166,0.93817,0.43004,1.82738,0.69544,1.63062,0.0003764,0.0003764,0.0003764
84,4556.77,1.26619,0.58098,1.17532,0.94657,0.89286,0.94687,0.43102,1.84698,0.67448,1.63419,0.0003566,0.0003566,0.0003566
85,4621.16,1.4159,0.62377,1.26508,0.95852,0.89286,0.9452,0.43528,1.85202,0.66788,1.62199,0.0003368,0.0003368,0.0003368
86,4687.33,1.38492,0.61827,1.21518,0.95142,0.93265,0.95163,0.42995,1.8204,0.6626,1.64589,0.000317,0.000317,0.000317
87,4756.57,1.37986,0.60184,1.22121,0.95923,0.90476,0.94007,0.42556,1.80573,0.66158,1.63984,0.0002972,0.0002972,0.0002972
88,4826.31,1.39291,0.60425,1.24274,0.93173,0.90476,0.94906,0.43278,1.79498,0.66499,1.63048,0.0002774,0.0002774,0.0002774
89,4894.42,1.38534,0.59897,1.24313,0.95575,0.91667,0.95359,0.43188,1.80471,0.66846,1.64321,0.0002576,0.0002576,0.0002576
90,4960.93,1.39225,0.59741,1.24135,0.95185,0.90476,0.95612,0.43478,1.8083,0.66984,1.62405,0.0002378,0.0002378,0.0002378
91,5028.56,1.35615,0.57948,1.27332,0.93669,0.92857,0.94535,0.43611,1.80109,0.66052,1.6277,0.000218,0.000218,0.000218
92,5096.05,1.33097,0.58031,1.28827,0.93137,0.92857,0.94103,0.43312,1.77457,0.64538,1.64112,0.0001982,0.0001982,0.0001982
93,5157.87,1.32511,0.57561,1.25822,0.90889,0.95007,0.94128,0.43495,1.76815,0.65092,1.64104,0.0001784,0.0001784,0.0001784
94,5215.49,1.4932,0.60915,1.43474,0.96198,0.90362,0.94844,0.43012,1.78473,0.65894,1.64836,0.0001586,0.0001586,0.0001586
95,5276.01,1.38626,0.59174,1.29951,0.96188,0.90128,0.95256,0.43723,1.78804,0.65663,1.64743,0.0001388,0.0001388,0.0001388
96,5339.89,1.30527,0.57788,1.24373,0.95363,0.89286,0.93357,0.43792,1.77452,0.64473,1.65084,0.000119,0.000119,0.000119
97,5403.53,1.32802,0.57067,1.27065,0.95384,0.89286,0.93507,0.43757,1.76588,0.64652,1.65572,9.92e-05,9.92e-05,9.92e-05
98,5466.63,1.2672,0.55342,1.25328,0.9746,0.91354,0.95645,0.45664,1.75851,0.64266,1.64332,7.94e-05,7.94e-05,7.94e-05
99,5530.56,1.3041,0.55807,1.27251,0.97404,0.91667,0.95391,0.45075,1.77126,0.64905,1.64305,5.96e-05,5.96e-05,5.96e-05
100,5592.93,1.32209,0.56792,1.27901,0.96132,0.90476,0.92908,0.44352,1.77824,0.65038,1.64642,3.98e-05,3.98e-05,3.98e-05
