feature,pearson_with_label,spearman_with_label,win_mean,loss_mean,win_median,loss_median,mean_delta_win_minus_loss
edge_density_all_slots,-0.20681327138698963,-0.13744304231700297,0.14641086867140754,0.15271365433246845,0.15181272476911545,0.1530047059059143,-0.006302785661060906
slot_3_edge_density,-0.20536572235530123,-0.16450217748639814,0.136566144127503,0.143455491588836,0.1422225534915924,0.14415256679058075,-0.00688934746133299
slot_1_edge_density,-0.19646968328970094,-0.10395140867923022,0.13627581666140762,0.1427454165719423,0.14164961874485016,0.14287376403808594,-0.006469599910534696
brightness_std_all_slots,-0.18929911357277002,-0.10209214966897236,0.20163226654663038,0.206629047519116,0.20593532919883728,0.20668402314186096,-0.004996780972485626
contrast_mean_all_slots,-0.189066103117482,-0.0970771436427229,0.20078159178637972,0.20578731409547185,0.205198273062706,0.2058059275150299,-0.005005722309092131
slot_1_brightness_std,-0.17856720432455664,-0.11140765257369112,0.19249433873377683,0.19825569906209467,0.1964576691389084,0.19825232028961182,-0.005761360328317838
red_mean_all_slots,-0.17423939615187603,-0.05271038066272099,0.3194040097580611,0.3290925619880218,0.32868750393390656,0.3290371149778366,-0.009688552229960679
brightness_mean_all_slots,-0.17276345379362054,-0.11524333462394393,0.34307337110582503,0.348250197911431,0.34600506722927094,0.34779925644397736,-0.005176826805605994
slot_2_brightness_std,-0.17020378111945544,-0.09053900512505782,0.21378913866806273,0.2184921319830123,0.21779672801494598,0.21869099885225296,-0.004702993314949555
slot_2_brightness_mean,-0.1585179979096444,-0.11184557711055332,0.34818058800303,0.35465920550663144,0.34860464930534363,0.3527781367301941,-0.006478617503601458
slot_2_edge_density,-0.1581832586653902,-0.059081416217208575,0.16639064266595222,0.17194005215125877,0.17249032855033875,0.17320041358470917,-0.00554940948530655
green_mean_all_slots,-0.15095002367914048,-0.1275474814721266,0.36722177919237364,0.37201600808768726,0.36883483827114105,0.3718237280845642,-0.0047942288953136125
slot_1_brightness_mean,-0.15045865877779802,-0.12491609184338028,0.3402406786765154,0.34629208107508536,0.3417024463415146,0.34486210346221924,-0.006051402398569938
slot_3_brightness_std,-0.14160184491737499,-0.05190943942212591,0.19606129773928008,0.20061411103069152,0.20004412531852722,0.20052435994148254,-0.004552813291411439
saturation_proxy_all_slots,-0.13851738595163343,-0.07941610270800858,0.3098414392227132,0.3133591195509206,0.31283919513225555,0.31409765779972076,-0.0035176803282074287
power_min,-0.12195705400302279,-0.10996711862991332,1.0071649105834173,1.0979600481444423,1.0286856889724731,1.0868571400642395,-0.09079513756102497
bright_pixel_fraction_all_slots,-0.11349090022240624,-0.0737444141110074,0.019510984733718185,0.020381351146393018,0.01979276431331226,0.020187917105725324,-0.0008703664126748327
slot_1_bright_pixel_fraction,-0.10183222493894101,-0.09147921931259607,0.01626313489222618,0.017460354399460844,0.01517386722866175,0.015885142255005272,-0.0011972195072346634
slot_3_dark_pixel_fraction,-0.0945207284271603,-0.07384417989231801,0.06864832943207931,0.07318481049421559,0.06807165437302423,0.0708640674394099,-0.004536481062136277
dark_pixel_fraction_all_slots,-0.08591073272372213,-0.017616874278251433,0.0761640975590573,0.07880196872040619,0.07898665261678961,0.07856515630488234,-0.0026378711613488925
slot_3_brightness_mean,-0.07358349415640139,-0.0470538535269563,0.340798844514609,0.3437993017818397,0.34094999730587006,0.3407103568315506,-0.003000457267230694
slot_2_bright_pixel_fraction,-0.06792909621555601,-0.054704359703699225,0.025168384022823002,0.026171216121116888,0.02518440463645943,0.025632244467860908,-0.0010028320982938856
power_sum,-0.050136346612463564,-0.12408826387027291,5.510562928044756,7.307694344279375,3.6484429240226746,3.920099973678589,-1.7971314162346195
power_mean,-0.05013634661246354,-0.12408826387027291,1.8368543093482521,2.435898114759792,1.2161476413408914,1.3066999912261963,-0.5990438054115397
power_slot_2,-0.04854658080141292,-0.08941346666604061,1.9758660106807289,3.276092156550029,1.2475285530090332,1.3048285841941833,-1.3002261458693003
power_max,-0.04463584658916413,-0.12678688331207572,3.2571260151998365,4.845817623284806,1.491085708141327,1.6292285919189453,-1.5886916080849698
power_spread_max_minus_min,-0.042114807506571615,-0.06310533245863564,2.249961104616419,3.7478575751403644,0.47087135910987854,0.5080571174621582,-1.4978964705239455
slot_2_dark_pixel_fraction,-0.03850954751567946,-0.01916882693382744,0.09583443935896095,0.09763448227071829,0.09594309799789252,0.09686512118018967,-0.001800042911757338
slot_1_dark_pixel_fraction,-0.0376141300229144,-0.017668742515959363,0.06400952388613164,0.06558661339628473,0.06346153846153846,0.06317175974710221,-0.0015770895101530902
power_slot_3,-0.035559398023289064,-0.13082808189746284,1.6618954722958252,2.349435946352281,1.1998857259750366,1.2842714190483093,-0.6875404740564559
slot_3_bright_pixel_fraction,-0.0341206497163218,-0.02828674703348643,0.017101435286105367,0.01751248291860132,0.016227608008429928,0.015937829293993677,-0.00041104763249595264
blue_mean_all_slots,-0.031158830494739425,-0.020615111917055357,0.3425943093900462,0.3436420037026119,0.34274570643901825,0.34281714260578156,-0.0010476943125656835
power_slot_1,0.013598363295270824,-0.09348924107378213,1.8728014450682013,1.6821662413770648,1.259342908859253,1.3234428763389587,0.1906352036911365
